"Species","Rank","Factor_Score","Assessed_Last_Cycle","Pseudo_Revenue_Coastwide","Pseudo_Revenue_CA","Pseudo_Revenue_OR","Pseudo_Revenue_WA","Species_Importance_CA","Species_Importance_OR","Species_Importance_WA","Catch_Coastwide","Catch_CA","Catch_OR","Catch_WA"
"arrowtooth flounder",25,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0
"aurora rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"bank rockfish",25,0,0,0,0,0,0,0,0,0,1,1,0,0
"big skate",25,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0
"black rockfish",4,7.82,-2,5329.7,0,3389.9,1939.7,0,2,2,3355,690.2,1695,969.9
"blackgill rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"blue and deacon rockfish",16,3.56,0,19,0,0,19,0,0,1.8,1697.4,1495.8,191,10.6
"bocaccio",13,3.77,0,22.9,0,0,22.9,0,0,1.3,510.4,489.5,3.4,17.6
"brown rockfish",25,0,0,0,0,0,0,0,0,0,428,427.1,0.8,0
"cabezon",12,3.89,0,25.4,0,0,25.4,0,0,0.75,237.2,129.4,73.9,33.8
"California scorpionfish",3,8.15,0,947.6,947.6,0,0,1.75,0,0,541.5,541.5,0,0
"canary rockfish",5,6.1,-2,1251.4,592.2,452.9,206.3,1.9,1.9,2,653.2,311.7,238.4,103.2
"chilipepper",9,4.14,0,31.6,31.6,0,0,1.86,0,0,17.2,17,0.2,0
"China rockfish",14,3.73,0,22.1,0,14.5,7.7,0,1.2,1,87,67.3,12,7.7
"copper rockfish",7,5.92,-2,1074.5,1015.3,48.4,10.8,1.78,1.5,1,613.5,570.4,32.3,10.8
"cowcod",15,3.64,0,20.4,20.4,0,0,1.5,0,0,13.6,13.6,0,0
"curlfin sole",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"darkblotched rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dover sole",24,0.01,0,0,0,0,0,0,0.3,0.25,0,0,0,0
"English sole",23,0.04,0,0,0,0,0,0,0.3,0.25,0.1,0,0.1,0
"flag rockfish",25,0,0,0,0,0,0,0,0,0,35.1,35,0,0
"flathead sole",25,0,0,0,0,0,0,0,0,0.25,0,0,0,0
"gopher and black and yellow rockfish",25,0,0,0,0,0,0,0,0,0,251.8,251.6,0.2,0
"grass rockfish",25,0,0,0,0,0,0,0,0,0,12.7,12.5,0.3,0
"greenspotted rockfish",25,0,0,0,0,0,0,0,0,0,71.2,70,1.2,0
"greenstriped rockfish",25,0,0,0,0,0,0,0,0,0,7.5,6.8,0.6,0
"honeycomb rockfish",17,3.48,0,17.7,17.7,0,0,1.25,0,0,14.2,14.2,0,0
"kelp greenling",20,2.07,0,4.7,0,0,4.7,0,0,0.75,135.8,20.3,109.2,6.3
"kelp rockfish",25,0,0,0,0,0,0,0,0,0,19.7,19.6,0.1,0
"leopard shark",25,0,0,0,0,0,0,0,0,0,107,107,0,0
"lingcod",1,10,0,4515.5,2977.8,0,1537.7,2,0,2,3147.2,1488.9,889.5,768.9
"longnose skate",21,0.15,0,0.1,0,0.1,0,0,0.2,0,0.7,0,0.7,0
"longspine thornyhead",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"olive rockfish",25,0,0,0,0,0,0,0,0,0,216.4,216.4,0,0
"Pacific cod",18,2.56,0,7.6,0,0,7.6,0,0,1.3,6.2,0,0.4,5.8
"Pacific ocean perch",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pacific sanddab",25,0,0,0,0,0,0,0,0,0.75,110.8,109.5,1.3,0
"Pacific spiny dogfish",25,0,0,0,0,0,0,0,0,0,21.7,21.5,0.2,0
"petrale sole",25,0,-2,0,0,0,0,0,0,0.75,35.7,19.9,15.7,0
"quillback rockfish",6,6.01,0,156.3,98.3,48.1,9.9,2,1.5,1,91.1,49.2,32,9.9
"redbanded rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"redstripe rockfish",25,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
"rex sole",25,0,-2,0,0,0,0,0,0,0.25,0,0,0,0
"rock sole",25,0,0,0,0,0,0,0,0,0.75,7.6,7.6,0.1,0
"rosethorn rockfish",25,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0
"rosy rockfish",25,0,0,0,0,0,0,0,0,0,50.1,49.9,0.2,0
"rougheye and black spotted rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"sablefish",25,0,-2,0,0,0,0,0,0,1.75,12.8,1.7,11.1,0
"sand sole",25,0,0,0,0,0,0,0,0,0.25,1.3,0.5,0.8,0
"sharpchin rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"shortraker rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"shortspine thornyhead",25,0,-2,0,0,0,0,0,0,0,0,0,0,0
"silvergray rockfish",25,0,0,0,0,0,0,0,0,0,1.6,0,1.6,0
"speckled rockfish",11,3.98,0,27.4,27.4,0,0,1,0,0,27.4,27.4,0,0
"splitnose rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"squarespot rockfish",25,0,0,0,0,0,0,0,0,0,68,68,0,0
"starry flounder",22,0.07,0,0.1,0,0.1,0,0,0.5,0.75,2.6,2.5,0.1,0
"starry rockfish",25,0,0,0,0,0,0,0,0,0,175.9,175.9,0,0
"stripetail rockfish",25,0,0,0,0,0,0,0,0,0,0,0,0,0
"treefish",25,0,0,0,0,0,0,0,0,0,39.1,39.1,0,0
"vermilion and sunset rockfish",19,2.4,0,6.6,0,0,6.6,0,0,1,1393.6,1347.8,39.2,6.6
"widow rockfish",8,5.5,0,101.4,75.2,26.2,0,1.3,1,1.5,84,57.9,26.2,0
"yelloweye rockfish",10,4.05,0,29.2,0,0,29.2,0,0,2,59,20.9,23.6,14.6
"yellowmouth rockfish",25,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
"yellowtail rockfish",2,8.46,0,1232,402.8,276.1,553.1,1.15,1.5,2,810.9,350.3,184.1,276.5
