speciesName,managementGroup
arrowtooth flounder,species specific
aurora rockfish,minor slope rockfish
bank rockfish,minor slope rockfish
big skate,species specific
black rockfish,species specific
blackgill rockfish,minor slope rockfish
blue/deacon rockfish,minor nearshore rockfish
bocaccio,species specific
brown rockfish,minor nearshore rockfish
cabezon,other groundfish
California scorpionfish,species specific
canary rockfish,species specific
chilipepper,species specific
China rockfish,minor nearshore rockfish
copper rockfish,minor nearshore rockfish
cowcod,minor shelf rockfish
curlfin sole,other flatfish
darkblotched rockfish,species specific
Dover sole,species specific
English sole,species specific
flag rockfish,minor shelf rockfish
flathead sole,other flatfish
gopher/black and yellow rockfish,minor nearshore rockfish
grass rockfish,minor nearshore rockfish
greenspotted rockfish,minor shelf rockfish
greenstriped rockfish,minor shelf rockfish
honeycomb rockfish,minor shelf rockfish
kelp greenling,other groundfish
kelp rockfish,minor nearshore rockfish
leopard shark,other groundfish
lingcod,species specific
longnose skate,species specific
longspine thornyhead,species specific
olive rockfish,minor nearshore rockfish
Pacific cod,species specific
Pacific ocean perch,species specific
Pacific sanddab,other flatfish
Pacific spiny dogfish,species specific
petrale sole,species specific
quillback rockfish,minor nearshore rockfish
redbanded rockfish,minor slope rockfish
redstripe rockfish,minor shelf rockfish
rex sole,other flatfish
rock sole,other flatfish
rosethorn rockfish,minor shelf rockfish
rosy rockfish,minor shelf rockfish
rougheye/blackspotted rockfish,minor slope rockfish
sablefish,species specific
sand sole,other flatfish
sharpchin rockfish,minor slope rockfish
shortraker rockfish,minor slope rockfish
shortspine thornyhead,species specific
silvergray rockfish,minor shelf rockfish
speckled rockfish,minor shelf rockfish
splitnose rockfish,minor slope rockfish
squarespot rockfish,minor shelf rockfish
starry flounder,species specific
starry rockfish,minor shelf rockfish
stripetail rockfish,minor shelf rockfish
treefish,minor nearshore rockfish
vermilion/sunset rockfish,minor shelf rockfish
widow rockfish,species specific
yelloweye rockfish,species specific
yellowmouth rockfish,minor slope rockfish
yellowtail rockfish,species specific
