Species,2022
arrowtooth flounder,55
aurora rockfish,63
bank rockfish,41
big skate,56
black rockfish,1
blackgill rockfish,57
blue rockfish,22
bocaccio,19
brown rockfish,2
cabezon,31
California scorpionfish,48
canary rockfish,13
chilipepper,34
China rockfish,25
copper rockfish,29
cowcod,65
curlfin sole,60
darkblotched rockfish,52
Dover sole,62
English sole,30
flag rockfish,44
flathead sole,45
gopher rockfish,33
grass rockfish,28
greenspotted rockfish,32
greenstriped rockfish,36
honeycomb rockfish,53
kelp greenling,40
kelp rockfish,47
leopard shark,37
lingcod,35
longnose skate,49
longspine thornyhead,38
olive rockfish,26
Pacific cod,11
Pacific ocean perch,59
Pacific sanddab,17
Pacific spiny dogfish,43
petrale sole,3
quillback rockfish,4
redbanded rockfish,8
redstripe rockfish,46
rex sole,23
rock sole,58
rosethorn rockfish,6
rosy rockfish,51
rougheye rockfish,27
sablefish,5
sand sole,42
sharpchin rockfish,64
shortraker rockfish,16
shortspine thornyhead,21
silvergray rockfish,24
speckled rockfish,39
splitnose rockfish,14
squarespot rockfish,54
starry flounder,50
starry rockfish,18
stripetail rockfish,20
treefish,7
vermilion rockfish,15
widow rockfish,12
yelloweye rockfish,9
yellowmouth rockfish,61
yellowtail rockfish,10
